"section"	"question"	"item"	"type"	"ID"	"description"
"A2"	1	1	"item"	"A201_01"	"I would still consider it if it is advantageous."
"A2"	1	2	"item"	"A201_02"	"I would evaluate whether the risk is acceptable."
"A2"	1	3	"item"	"A201_03"	"I would avoid it if it harms someone."
"A2"	1	4	"item"	"A201_04"	"I would reject it, because ethics is part of the company’s value."
"A2"	2		"question"	"A202"	"Ethics and Responsibility"
"A2"	2	1	"item"	"A202_01"	"A constraint that can slow down business."
"A2"	2	2	"item"	"A202_02"	"Important, but secondary to economic survival."
"A2"	2	3	"item"	"A202_03"	"A useful criterion for building trust."
"A2"	2	4	"item"	"A202_04"	"A guiding principle for making sound, fair, and lasting decisions."
"A2"	3		"question"	"A203"	"Ethics and Responsibility"
"A2"	3	1	"item"	"A203_01"	"No, not yet."
"A2"	3	2	"item"	"A203_02"	"Only partially."
"A2"	3	3	"item"	"A203_03"	"Yes, especially regarding customers and collaborators."
"A2"	3	4	"item"	"A203_04"	"Yes, considering customers, collaborators, suppliers, community, environment, and future generations."
"A2"	4		"question"	"A204"	"Section 3"
"A3"			"section"	"A3"	"Relationships and Stakeholders"
"A3"	1		"question"	"A301"	"Relationships and Stakeholders"
"A3"	1	1	"item"	"A301_01"	"A commercial relationship."
"A3"	1	2	"item"	"A301_02"	"A relationship is useful for selling better."
"A3"	1	3	"item"	"A301_03"	"A relationship based on listening and trust."
"A3"	1	4	"item"	"A301_04"	"A harmonious relationship based on listening, respect, collaboration, and mutual value."
"A3"	2		"question"	"A302"	"Relationships and Stakeholders"
"A3"	2	1	"item"	"A302_01"	"Not very important, what matters is that the product works."
"A3"	2	2	"item"	"A302_02"	"Somewhat important, if it helps to sell."
"A3"	2	3	"item"	"A302_03"	"Very important, because the context offers needs and opportunities."
"A3"	2	4	"item"	"A302_04"	"Extremely important, because the business must grow together with its context."
"A3"	3		"question"	"A303"	"Relationships and Stakeholders"
"A3"	3	1	"item"	"A303_01"	"Based on cost and technical competence."
"A3"	3	2	"item"	"A303_02"	"Based on productivity."
"A3"	3	3	"item"	"A303_03"	"Based on competence, reliability, and teamwork ability."
"A3"	3	4	"item"	"A303_04"	"Based on competence, values, relational well-being, and contribution to a shared project."
"A3"	4		"question"	"A304"	"Section 4"
"A4"			"section"	"A4"	"Innovation and Future"
"A4"	1		"question"	"A401"	"Innovation and Future"
"A4"	1	1	"item"	"A401_01"	"Using new technologies."
"A4"	1	2	"item"	"A401_02"	"Doing something different from competitors."
"A4"	1	3	"item"	"A401_03"	"Improving products, processes, or services."
"A4"	1	4	"item"	"A401_04"	"Improving people’s lives by combining technology, ethics, and sustainability."
"A4"	2		"question"	"A402"	"Innovation and Future"
"A4"	2	1	"item"	"A402_01"	"Reducing costs."
"A4"	2	2	"item"	"A402_02"	"Increasing efficiency and speed."
"A4"	2	3	"item"	"A402_03"	"Improving customer service."
"A4"	2	4	"item"	"A402_04"	"Using technology to serve people, respecting dignity, transparency, and responsibility."
"A4"	3		"question"	"A403"	"Innovation and Future"
"A4"	3	1	"item"	"A403_01"	"By trying to grow as fast as possible."
"A4"	3	2	"item"	"A403_02"	"By trying to conquer the market."
"A4"	3	3	"item"	"A403_03"	"By being competitive and sustainable."
"A4"	3	4	"item"	"A403_04"	"By growing in a healthy, responsible, human, and lasting way."
"A5"			"section"	"A5"	"Social Function of the Business"
"A5"	1		"question"	"A501"	"Social Function of the Business"
"A5"	1	1	"item"	"A501_01"	"Not necessarily, profit comes first."
"A5"	1	2	"item"	"A501_02"	"Yes, but only if it does not cost too much."
"A5"	1	3	"item"	"A501_03"	"Yes, because a responsible business builds more trust."
"A5"	1	4	"item"	"A501_04"	"Yes, because social function is part of its identity."
"A5"	2		"question"	"A502"	"Social Function of the Business"
"A5"	2	1	"item"	"A502_01"	"Increased revenue and personal recognition."
"A5"	2	2	"item"	"A502_02"	"Economic growth and stability."
"A5"	2	3	"item"	"A502_03"	"Economic growth, customer satisfaction, and work quality."
"A5"	2	4	"item"	"A502_04"	"Economic growth, personal well-being, positive relationships, and social impact."
"A5"	3		"question"	"A503"	"Social Function of the Business"
"A5"	3	1	"item"	"A503_01"	"Fast growth."
"A5"	3	2	"item"	"A503_02"	"Fast but controlled growth."
"A5"	3	3	"item"	"A503_03"	"Sustainable growth."
"A5"	3	4	"item"	"A503_04"	"Harmonious growth balancing profit, people, environment, and community."
"A5"	4		"question"	"A504"	"Section 5"
"A6"			"section"	"A6"	"Entrepreneurial Self-Awareness"
"A6"	1		"question"	"A601"	"Entrepreneurial Self-Awareness"
"A6"	1	1	"item"	"A601_01"	"Not much, I focus on my strengths."
"A6"	1	2	"item"	"A601_02"	"I know them but tend to ignore them."
"A6"	1	3	"item"	"A601_03"	"I know them and work on them."
"A6"	1	4	"item"	"A601_04"	"I consider them part of my growth and seek support when needed."
"A6"	2		"question"	"A602"	"Entrepreneurial Self-Awareness"
"A6"	2	1	"item"	"A602_01"	"I want to build a successful business."
"A6"	2	2	"item"	"A602_02"	"I want to realize my idea and establish myself."
"A6"	2	3	"item"	"A602_03"	"I want to create value and work well."
"A6"	2	4	"item"	"A602_04"	"I want to build a business that generates value, well-being, and harmony."
"A6"	3		"question"	"A603"	"Section 6"
"CS"			"section"	"CS"	"Consent"
"CS"	1		"question"	"CS01"	"Consent"
"CS"	1	1	"item"	"CS01_01"	"Yes, I consent <br>"
"CS"	1	2	"item"	"CS01_02"	"No,I do not consent"
"PI"			"section"	"PI"	"Participant Information"
"PI"	1		"question"	"PI01"	"Age Group"
"PI"	1	1	"item"	"PI01_01"	"18 - 24 <br>"
"PI"	1	2	"item"	"PI01_02"	"25 - 34 <br>"
"PI"	1	3	"item"	"PI01_03"	"35 - 44 <br>"
"PI"	1	4	"item"	"PI01_04"	"45 - 54 <br>"
"PI"	1	5	"item"	"PI01_05"	"55+"
"PI"	2		"question"	"PI02"	"Gender"
"PI"	2	1	"item"	"PI02_01"	"Male <br>"
"PI"	2	2	"item"	"PI02_02"	"Female <br>"
"PI"	2	3	"item"	"PI02_03"	"Non-binary <br>"
"PI"	2	4	"item"	"PI02_04"	"Prefer not to say <br>"
"PI"	2	5	"item"	"PI02_05"	"Other:"
"PI"	3		"question"	"PI03"	"Residence"
"PI"	4		"question"	"PI04"	"Education"
"PI"	4	1	"item"	"PI04_01"	"High School <br>"
"PI"	4	2	"item"	"PI04_02"	"Bachelor's degree <br>"
"PI"	4	3	"item"	"PI04_03"	"Master's degree <br>"
"PI"	4	4	"item"	"PI04_04"	"PhD <br>"
"PI"	4	5	"item"	"PI04_05"	"Prefer not to say <br>"
"PI"	4	6	"item"	"PI04_06"	"Other:"
"PI"	5		"question"	"PI05"	"Field of work"
"PI"	5	1	"item"	"PI05_01"	
"PI"	7		"question"	"PI07"	"Email address"
"A7"			"section"	"A7"	"Craftsmanship"
"A7"	1		"question"	"A701"	"Innovate a craft"
"A7"	1	1	"item"	"A701_01"	
"A7"	2		"question"	"A702"	"elements"
"A7"	2	1	"item"	"A702_01"	
"A7"	3		"question"	"A703"	"value of customer"
"A7"	3	1	"item"	"A703_01"	
"A7"	4		"question"	"A704"	"Sustainablity"
"A7"	4	1	"item"	"A704_01"	
"A7"	5		"question"	"A705"	"2030 Agenda"
"A7"	5	1	"item"	"A705_01"	
"A7"	6		"question"	"A706"	"Impact on local Economy"
"A7"	6	1	"item"	"A706_01"	
"A7"	8		"question"	"A708"	"intro"
"A7"	9		"question"	"A709"	"five words"
"A7"	9	1	"item"	"A709_01"	
"A7"	10		"question"	"A710"	"5 words"
