CASE,Group,Group_Label,Group_Label_Short,Confidence,Method,Rule_Applied,A001,A002,A003,A101,A102,A103,A201,A202,A203,A301,A302,A303,A401,A402,A403,A501,A502,A503,A601,A602,A0_score,A1_score,A2_score,A3_score,A4_score,A5_score,A6_score,HE_index,TIME_SUM,PI01,PI02,PI04,word_count,url_count,cited_refs,fonti_refs,he_keywords,trivial_answers,is_english,report_format,copy_paste,Manual_Notes
58,2,Information Extraction (NotebookLM),G2: NotebookLM,MEDIUM,Soft score,Margin=2 over runner-up,4,1,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,2,4,4,3.0,4.0,3.6666666666666665,3.6666666666666665,4.0,3.3333333333333335,4.0,3.65,489,2,1,2,227,0,0,0,0,0,0,0,0,Very short bullet answers; no HE jargon; no URLs; direct recall
59,3,Knowledge Discovery (Web Search),G3: Web Search,HIGH,Hard rule,RULE A: URL found in text,4,3,2,4,3,4,4,2,1,4,3,3,4,2,4,4,4,4,4,1,3.0,3.6666666666666665,2.3333333333333335,3.3333333333333335,3.3333333333333335,4.0,2.5,3.2,571,1,1,2,414,1,0,0,0,0,0,0,0,Q2 answer is just a URL; references Google Ads/LinkedIn Ads
60,4,Interaction (LLM),G4: LLM,HIGH,Hard rule,RULE D: English text or consulting report format,4,4,1,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3.0,3.0,3.3333333333333335,4.0,4.0,4.0,4.0,3.6,586,1,2,2,487,0,0,0,0,0,0,1,1,"Numbered sub-sections 2.2, 3.1, 5.1; consulting report style; no HE/URLs"
61,1,Knowledge Learning (Textbook),G1: Textbook,HIGH,Hard rule,RULE C: 3+ trivial answers (gave up),4,4,4,4,4,4,2,4,1,4,4,4,4,4,2,3,4,4,3,4,4.0,4.0,2.3333333333333335,4.0,3.3333333333333335,3.6666666666666665,3.5,3.55,722,1,1,2,596,0,0,0,4,4,0,0,0,"Uses ""chi è / cosa e come fa"" from Ch4; Q3–Q6 answered as ""3"",""4"",""5"",""6"""
62,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=1 over runner-up,1,1,3,3,4,3,2,4,3,3,4,3,3,3,4,3,3,3,3,2,1.6666666666666667,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335,3.0,2.5,2.9,348,1,2,2,575,0,0,0,1,0,0,0,0,"Digital marketing focus; Q5: ""Persone. Eliminare fame"" (off-topic SDG copy)"
63,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Hard rule,RULE B: [n] citations or fonti_refs >= 3,1,1,1,3,3,3,1,4,3,1,2,3,3,2,1,3,3,2,2,1,1.0,3.0,2.6666666666666665,2.0,2.0,2.6666666666666665,1.5,2.15,604,1,1,2,2080,0,0,6,10,0,0,0,0,"""secondo il modello descritto nei documenti""; systematic HE; no URLs"
64,2,Information Extraction (NotebookLM),G2: NotebookLM,MEDIUM,Soft score,Margin=2 over runner-up,4,4,2,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3.3333333333333335,3.0,4.0,4.0,3.6666666666666665,4.0,4.0,3.7,697,1,2,2,517,0,0,0,0,0,0,0,0,"Full analysis of ""Osacuca"" (real Calabrian company); ""Secondo me"""
65,2,Information Extraction (NotebookLM),G2: NotebookLM,MEDIUM,Soft score,Margin=1 over runner-up,1,4,1,3,3,3,4,4,1,4,3,4,4,2,2,3,3,3,4,2,2.0,3.0,3.0,3.6666666666666665,2.6666666666666665,3.0,3.0,2.9,439,2,1,2,840,0,0,0,0,0,0,0,0,Well-structured professional Italian; no HE jargon; no URLs
66,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Hard rule,RULE B: [n] citations or fonti_refs >= 3,1,2,2,1,1,2,2,4,2,1,2,4,4,4,3,3,4,4,3,4,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.3333333333333335,3.6666666666666665,3.6666666666666665,3.5,2.65,608,1,1,3,1949,0,0,8,7,0,0,0,0,"""Sebbene le fonti fornite non menzionino..."" — transparent about source limits"
68,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,2,3,1,4,4,3,2,4,3,4,4,3,4,2,3,4,3,4,2,4,2.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.15,462,1,2,2,308,0,0,0,0,0,0,0,0,Short personal examples (sarta; fattoria Pupo in Sila); no HE/URLs
69,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,4,3,4,4,4,3,3,4,2,3,3,4,4,2,4,4,4,4,3,4,3.6666666666666665,3.6666666666666665,3.0,3.3333333333333335,3.3333333333333335,4.0,3.5,3.5,754,1,1,2,265,0,0,0,0,0,0,0,0,"Concise balanced; informally mentions ""armonica"" once; no URLs"
70,1,Knowledge Learning (Textbook),G1: Textbook,HIGH,Soft score,Margin=3 over runner-up,4,4,4,2,2,4,4,4,2,4,4,4,4,4,3,3,3,4,4,4,4.0,2.6666666666666665,3.3333333333333335,4.0,3.6666666666666665,3.3333333333333335,4.0,3.55,534,1,2,2,423,0,0,0,1,1,0,0,0,"Cites Schumpeter from chapter; Q6 answered as "".""; numbered 1–6"
71,2,Information Extraction (NotebookLM),G2: NotebookLM,MEDIUM,Soft score,Margin=1 over runner-up,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,4,3,4,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.5,3.75,581,2,2,2,636,0,0,0,0,0,0,0,0,"Invents ""Craft Passport"" concept; ""la via degli artigiani""; creative"
72,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Hard rule,RULE B: [n] citations or fonti_refs >= 3,3,3,3,3,3,3,3,2,2,3,4,4,3,3,3,3,3,3,2,3,3.0,3.0,2.3333333333333335,3.6666666666666665,3.0,3.0,2.5,2.95,603,1,1,2,2477,0,20,10,12,0,0,0,0,"Numbered [1][2][3] refs AND ### headers; ""secondo le fonti""; full HE"
74,3,Knowledge Discovery (Web Search),G3: Web Search,HIGH,Hard rule,RULE A: URL found in text,2,4,2,3,3,4,4,4,4,1,4,4,2,4,4,3,4,4,1,2,2.6666666666666665,3.3333333333333335,4.0,3.0,3.3333333333333335,3.6666666666666665,1.5,3.15,495,1,2,2,875,5,0,0,1,0,0,0,0,"Cites servizimultimediali.net, veniceoriginal.it, asvis.it with pasted text"
75,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=1 over runner-up,4,3,2,3,4,4,4,4,3,3,4,3,4,3,3,4,4,3,4,4,3.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.6666666666666665,4.0,3.5,525,1,1,5,422,0,0,0,2,0,0,0,0,"""homo sentimentalis"" (from chapter); Calabria transport/spopolamento analysis"
77,1,Knowledge Learning (Textbook),G1: Textbook,HIGH,Soft score,Margin=3 over runner-up,1,3,2,2,2,2,2,2,3,4,3,3,3,2,4,3,2,3,3,2,2.0,2.0,2.3333333333333335,3.3333333333333335,3.0,2.6666666666666665,2.5,2.55,585,1,1,2,283,0,0,0,2,2,0,0,0,"""Imprenditore Armonico"", ""custode del creato""; Q5+Q6 answered as ""."""
78,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Soft score,Margin=4 over runner-up,1,1,1,4,4,4,3,4,3,3,4,4,3,4,3,3,4,3,4,3,1.0,4.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.5,3.15,565,2,1,2,1143,0,0,0,1,0,0,0,0,"Quotes ""Venegoni"" (external); succession planning (not in chapter)"
79,4,Interaction (LLM),G4: LLM,HIGH,Hard rule,RULE D: English text or consulting report format,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,4.0,4.0,3.85,483,1,2,1,46,0,0,0,0,0,1,0,0,Written in English; single-line answers; no HE/URLs
80,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,2,1,2,2,1,3,2,2,2,2,3,1,1,4,4,2,4,3,2,3,1.6666666666666667,2.0,2.0,2.0,3.0,3.0,2.5,2.3,315,2,1,2,214,0,0,0,0,0,0,0,0,"References ""Feras"" company; short personal opinions; no HE/URLs"
82,1,Knowledge Learning (Textbook),G1: Textbook,MEDIUM,Soft score,Margin=0 over runner-up,2,3,4,3,3,1,1,1,1,3,2,1,4,2,2,4,2,2,4,1,3.0,2.3333333333333335,1.0,2.0,2.6666666666666665,2.6666666666666665,2.5,2.3,560,1,1,2,533,0,0,0,0,0,0,0,0,Well-balanced professional Italian; no HE/URL references; general synthesis
84,1,Knowledge Learning (Textbook),G1: Textbook,HIGH,Hard rule,RULE C: 3+ trivial answers (gave up),4,4,3,2,2,3,4,3,3,4,4,4,4,4,4,3,3,3,3,4,3.6666666666666665,2.3333333333333335,3.3333333333333335,4.0,4.0,3.0,3.5,3.4,814,1,2,2,11,0,0,0,0,6,0,0,0,"All 6 answers are literally single numbers: ""1"",""2"",""4"",""4"",""5"",""6"""
85,3,Knowledge Discovery (Web Search),G3: Web Search,HIGH,Hard rule,RULE A: URL found in text,4,3,1,3,3,3,3,2,4,3,2,4,2,2,3,2,2,2,3,4,2.6666666666666665,3.0,3.0,3.0,2.3333333333333335,2.0,3.5,2.75,608,1,2,2,11,7,0,0,0,0,0,0,0,All 6 answers are ONLY URLs — pure link list
87,2,Information Extraction (NotebookLM),G2: NotebookLM,HIGH,Hard rule,RULE B: [n] citations or fonti_refs >= 3,3,3,2,3,3,3,3,4,3,4,3,3,3,2,3,3,3,3,3,2,2.6666666666666665,3.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,2.5,2.95,363,2,1,2,2265,0,0,11,12,0,0,0,0,"""double nexus"",""tre punte del diamante"",""le fonti""; systematic HE coverage"
