CASE,STARTED,TIME_SUM,FINISHED,MISSING,A001,A002,A003,A101,A102,A103,A201,A202,A203,A301,A302,A303,A401,A402,A403,A501,A502,A503,A601,A602,A0_score,A1_score,A2_score,A3_score,A4_score,A5_score,A6_score,HE_index,Salus_score,Humanitas_score,Humus_score,HE_level,PI01,PI02,PI04,Age_label,Gender_label,Education_label
58,2026-05-06 15:11:46,489.0,1,0.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.6666666666666665,3.6666666666666665,4.0,3.3333333333333335,4.0,3.65,4.0,3.5555555555555554,4.0,Level 3 – Advanced HE,2,1,2,30+,Male,High school
59,2026-05-06 15:11:46,571.0,1,0.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.6666666666666665,2.3333333333333335,3.3333333333333335,3.3333333333333335,4.0,2.5,3.2,3.6666666666666665,3.2222222222222228,3.3333333333333335,Level 2 – Developing HE,1,1,2,Under 30,Male,High school
60,2026-05-06 15:11:46,586.0,1,3.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.3333333333333335,4.0,4.0,4.0,4.0,3.6,3.0,3.777777777777778,4.0,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
61,2026-05-06 15:11:47,722.0,1,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.3333333333333335,4.0,3.3333333333333335,3.6666666666666665,3.5,3.55,4.0,3.3333333333333335,3.3333333333333335,Level 3 – Advanced HE,1,1,2,Under 30,Male,High school
62,2026-05-06 15:11:47,348.0,1,0.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.6666666666666667,3.3333333333333335,3.0,3.3333333333333335,3.3333333333333335,3.0,2.5,2.9,3.3333333333333335,3.111111111111111,3.3333333333333335,Level 2 – Developing HE,1,2,2,Under 30,Female,High school
63,2026-05-06 15:11:47,604.0,1,0.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.6666666666666665,2.0,2.0,2.6666666666666665,1.5,2.15,3.0,2.444444444444444,2.0,Level 1 – Nascent HE,1,1,2,Under 30,Male,High school
64,2026-05-06 15:11:48,697.0,1,0.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.3333333333333335,3.0,4.0,4.0,3.6666666666666665,4.0,4.0,3.7,3.0,4.0,3.6666666666666665,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
65,2026-05-06 15:11:48,439.0,1,0.0,1.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.6666666666666665,2.6666666666666665,3.0,3.0,2.9,3.0,3.222222222222222,2.6666666666666665,Level 2 – Developing HE,2,1,2,30+,Male,High school
66,2026-05-06 15:11:48,608.0,1,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.3333333333333335,3.6666666666666665,3.6666666666666665,3.5,2.65,1.3333333333333333,2.888888888888889,3.6666666666666665,Level 2 – Developing HE,1,1,3,Under 30,Male,Bachelor
68,2026-05-06 15:11:54,462.0,1,0.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.15,3.6666666666666665,3.444444444444444,3.0,Level 2 – Developing HE,1,2,2,Under 30,Female,High school
69,2026-05-06 15:12:01,754.0,1,0.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.6666666666666665,3.6666666666666665,3.0,3.3333333333333335,3.3333333333333335,4.0,3.5,3.5,3.6666666666666665,3.4444444444444446,3.3333333333333335,Level 3 – Advanced HE,1,1,2,Under 30,Male,High school
70,2026-05-06 15:12:02,534.0,1,0.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.6666666666666665,3.3333333333333335,4.0,3.6666666666666665,3.3333333333333335,4.0,3.55,2.6666666666666665,3.555555555555556,3.6666666666666665,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
71,2026-05-06 15:12:02,581.0,1,0.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.5,3.75,3.6666666666666665,3.6666666666666665,4.0,Level 3 – Advanced HE,2,2,2,30+,Female,High school
72,2026-05-06 15:12:02,603.0,1,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.3333333333333335,3.6666666666666665,3.0,3.0,2.5,2.95,3.0,3.0,3.0,Level 2 – Developing HE,1,1,2,Under 30,Male,High school
74,2026-05-06 15:12:05,495.0,1,0.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.6666666666666665,3.3333333333333335,4.0,3.0,3.3333333333333335,3.6666666666666665,1.5,3.15,3.3333333333333335,3.5555555555555554,3.3333333333333335,Level 2 – Developing HE,1,2,2,Under 30,Female,High school
75,2026-05-06 15:12:05,525.0,1,0.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.6666666666666665,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.6666666666666665,4.0,3.5,3.6666666666666665,3.5555555555555554,3.3333333333333335,Level 3 – Advanced HE,1,1,5,Under 30,Male,PhD
77,2026-05-06 15:12:07,585.0,1,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.3333333333333335,3.3333333333333335,3.0,2.6666666666666665,2.5,2.55,2.0,2.777777777777778,3.0,Level 2 – Developing HE,1,1,2,Under 30,Male,High school
78,2026-05-06 15:12:09,565.0,1,0.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,4.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.3333333333333335,3.5,3.15,4.0,3.4444444444444446,3.3333333333333335,Level 2 – Developing HE,2,1,2,30+,Male,High school
79,2026-05-06 15:12:09,483.0,1,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,4.0,4.0,3.85,3.6666666666666665,3.888888888888889,3.6666666666666665,Level 3 – Advanced HE,1,2,1,Under 30,Female,Primary
80,2026-05-06 15:12:10,315.0,1,0.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,1.6666666666666667,2.0,2.0,2.0,3.0,3.0,2.5,2.3,2.0,2.3333333333333335,3.0,Level 1 – Nascent HE,2,1,2,30+,Male,High school
82,2026-05-06 15:12:14,560.0,1,0.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,2.3333333333333335,1.0,2.0,2.6666666666666665,2.6666666666666665,2.5,2.3,2.3333333333333335,1.8888888888888886,2.6666666666666665,Level 1 – Nascent HE,1,1,2,Under 30,Male,High school
84,2026-05-06 15:13:44,814.0,1,0.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.6666666666666665,2.3333333333333335,3.3333333333333335,4.0,4.0,3.0,3.5,3.4,2.3333333333333335,3.4444444444444446,4.0,Level 3 – Advanced HE,1,2,2,Under 30,Female,High school
85,2026-05-06 15:13:45,608.0,1,0.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.6666666666666665,3.0,3.0,3.0,2.3333333333333335,2.0,3.5,2.75,3.0,2.6666666666666665,2.3333333333333335,Level 2 – Developing HE,1,2,2,Under 30,Female,High school
87,2026-05-06 15:22:01,363.0,1,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.6666666666666665,3.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,3.0,2.5,2.95,3.0,3.2222222222222228,2.6666666666666665,Level 2 – Developing HE,2,1,2,30+,Male,High school
